Instance,RL_Makespan,OR_Makespan,Gap(%),OR_Time
81,36.61928176879883,8.572,327.19647420437275,1.1842703819274902
82,34.66059112548828,7.911,338.1316031536883,0.699044942855835
83,31.85301399230957,8.629,269.13911220662385,1.951918125152588
84,31.35856056213379,7.976,293.1614915011759,0.8551714420318604
85,38.05575942993164,9.009,322.4193520915933,0.8164985179901123
86,35.44083023071289,8.284,327.8226729926713,1.9349758625030518
87,37.16904830932617,8.574,333.50884428885206,0.8046252727508545
88,33.247772216796875,7.727,330.28047388115533,1.4134314060211182
89,35.857208251953125,9.235,288.27512996159317,2.7313308715820312
90,31.82455825805664,8.538,272.7401997898412,0.264768123626709
91,31.40629768371582,7.825,301.35843685259835,1.1069185733795166
92,32.41950607299805,7.428,336.4500009827416,2.458552360534668
93,32.92125701904297,8.0,311.5157127380371,0.9279780387878418
94,32.910953521728516,8.524,286.09753075702156,0.9772300720214844
95,34.437129974365234,8.263,316.76303974785475,1.1181602478027344
96,32.346065521240234,8.676,272.82233196450244,0.8171432018280029
97,37.93016815185547,8.11,367.69627807466674,1.0751402378082275
98,36.77982711791992,8.38,338.9000849393785,2.1569433212280273
99,30.601911544799805,8.699,251.7865449453938,0.42193150520324707
100,36.68794250488281,7.797,370.5392138628038,0.7389872074127197
101,40.21542739868164,8.337,382.3728847149051,0.9535460472106934
102,37.755680084228516,8.804,328.84688873498993,0.2505228519439697
103,33.128604888916016,7.982,315.04140427106006,0.8526766300201416
104,28.798643112182617,8.033,258.50420903999276,1.4716317653656006
105,37.01175308227539,8.738,323.57236303817115,1.7984850406646729
106,27.148283004760742,7.768,249.48871015397452,0.1693427562713623
107,35.4633903503418,8.36,324.20323385576313,0.5885989665985107
108,31.74968910217285,8.123,290.861616424632,0.24846243858337402
109,36.311824798583984,7.262,400.0251280443953,0.8339383602142334
110,30.278301239013672,7.98,279.42733382222644,1.129340648651123
111,30.547208786010742,8.473,260.5241211614628,1.9523210525512695
112,33.87480926513672,8.038,321.43330760309425,0.49059176445007324
113,34.94402313232422,8.352,318.3910815651846,2.2042107582092285
114,33.72159194946289,7.747,335.28581321108675,0.5949623584747314
115,34.490970611572266,7.923,335.3271565262181,0.48810315132141113
116,36.16187286376953,8.628,319.1223095012695,0.7038853168487549
117,37.52195739746094,9.088,312.87365094037125,2.6242306232452393
118,31.95463752746582,7.555,322.960126108085,0.9659032821655273
119,33.61408996582031,8.288,305.5754098192605,0.18613028526306152
120,35.82597732543945,7.4,384.1348287221548,0.4216604232788086
121,36.264827728271484,8.166,344.09536772313845,0.5143442153930664
122,32.501949310302734,7.885,312.19973760688316,1.5995945930480957
123,32.108707427978516,8.332,285.3661477193773,0.1831073760986328
